outcome,estimate,SE
pettybiz_dum_p1e,0.313,0.031
Any nonfarm self-employment,0.401,0.03
Started Enterprise,0.487,0.025
Average Work Hours,9.391,1.608
Agri Average Work Hours,3.496,1.389
NonAgri Average Work Hours,5.895,0.893
Average Hours Chores,0.305,1.013
zero_employment_p1e,-0.002,0.019
Index of Income,0.464,0.068
Monthly Cash Earnings,10.372,3.443
Durable Consumption Assets,0.327,0.067
Non-Durable Consumption,31.031,5.01
consaggpercap2_p1ep99_r,10.617,1.681
Durable Assets (production),0.402,0.064
Times Went Hungry,-0.098,0.039
Usual Meals per day,0.057,0.028
